# MediaPipe Hand Trajectory Data
# Format: time(s) x(m) y(m) z(m) roll(rad) pitch(rad) yaw(rad)
# Duration: 9.957s, Samples: 301
# Max Linear Vel: 0.476 m/s, Max Angular Vel: 0.000 rad/s
# Max Linear Accel: 4.237 m/s^2, Max Angular Accel: 0.000 rad/s^2
# Total Distance: 0.730m, Total Rotation: 0.000rad
# Robot base frame: +x forward, +y left, +z up
# Recorded in ZY plane with fixed X
0.040070 0.497927 -0.004657 0.481444 0.000000 0.000000 0.000000
0.083156 0.502989 -0.023022 0.476861 0.000000 0.000000 0.000000
0.114011 0.506799 -0.036801 0.473489 0.000000 0.000000 0.000000
0.145898 0.509648 -0.047126 0.470932 0.000000 0.000000 0.000000
0.177228 0.511822 -0.054952 0.469068 0.000000 0.000000 0.000000
0.209285 0.513456 -0.060812 0.467703 0.000000 0.000000 0.000000
0.241641 0.514655 -0.065107 0.466713 0.000000 0.000000 0.000000
0.271776 0.515559 -0.068343 0.465972 0.000000 0.000000 0.000000
0.302581 0.516262 -0.070847 0.465408 0.000000 0.000000 0.000000
0.333207 0.516811 -0.072769 0.465034 0.000000 0.000000 0.000000
0.363911 0.517239 -0.074248 0.464766 0.000000 0.000000 0.000000
0.395327 0.517562 -0.075386 0.464530 0.000000 0.000000 0.000000
0.426292 0.517770 -0.076197 0.464253 0.000000 0.000000 0.000000
0.456177 0.517934 -0.076816 0.464064 0.000000 0.000000 0.000000
0.486706 0.518060 -0.077296 0.463912 0.000000 0.000000 0.000000
0.516961 0.518151 -0.077640 0.463802 0.000000 0.000000 0.000000
0.547802 0.518216 -0.077893 0.463719 0.000000 0.000000 0.000000
0.579331 0.518268 -0.078062 0.463700 0.000000 0.000000 0.000000
0.610331 0.518281 -0.078095 0.463716 0.000000 0.000000 0.000000
0.642626 0.518288 -0.078108 0.463731 0.000000 0.000000 0.000000
0.674605 0.518306 -0.078173 0.463713 0.000000 0.000000 0.000000
0.704503 0.518325 -0.078202 0.463764 0.000000 0.000000 0.000000
0.735540 0.518347 -0.078248 0.463800 0.000000 0.000000 0.000000
0.767549 0.518340 -0.078282 0.463705 0.000000 0.000000 0.000000
0.797791 0.518346 -0.078307 0.463693 0.000000 0.000000 0.000000
0.828849 0.518355 -0.078355 0.463660 0.000000 0.000000 0.000000
0.878048 0.518358 -0.078391 0.463618 0.000000 0.000000 0.000000
0.908728 0.518359 -0.078409 0.463593 0.000000 0.000000 0.000000
0.939299 0.518366 -0.078429 0.463592 0.000000 0.000000 0.000000
0.970350 0.518381 -0.078476 0.463595 0.000000 0.000000 0.000000
1.001450 0.518365 -0.078479 0.463504 0.000000 0.000000 0.000000
1.033536 0.518378 -0.078565 0.463430 0.000000 0.000000 0.000000
1.065296 0.518327 -0.078454 0.463350 0.000000 0.000000 0.000000
1.096869 0.518171 -0.078024 0.463264 0.000000 0.000000 0.000000
1.128378 0.518072 -0.077778 0.463161 0.000000 0.000000 0.000000
1.159467 0.517919 -0.077332 0.463117 0.000000 0.000000 0.000000
1.191351 0.517664 -0.076623 0.462985 0.000000 0.000000 0.000000
1.222768 0.517463 -0.076073 0.462867 0.000000 0.000000 0.000000
1.254172 0.517090 -0.075071 0.462613 0.000000 0.000000 0.000000
1.285749 0.516416 -0.073237 0.462198 0.000000 0.000000 0.000000
1.316951 0.515917 -0.071926 0.461813 0.000000 0.000000 0.000000
1.348023 0.515060 -0.069604 0.461264 0.000000 0.000000 0.000000
1.378687 0.513929 -0.066500 0.460611 0.000000 0.000000 0.000000
1.426929 0.513104 -0.064276 0.460070 0.000000 0.000000 0.000000
1.456498 0.511980 -0.061207 0.459391 0.000000 0.000000 0.000000
1.486806 0.510632 -0.057607 0.458446 0.000000 0.000000 0.000000
1.518336 0.509595 -0.054725 0.457905 0.000000 0.000000 0.000000
1.549893 0.508332 -0.051118 0.457414 0.000000 0.000000 0.000000
1.581421 0.507067 -0.047607 0.456750 0.000000 0.000000 0.000000
1.628518 0.506052 -0.044779 0.456233 0.000000 0.000000 0.000000
1.660725 0.505048 -0.042126 0.455482 0.000000 0.000000 0.000000
1.691317 0.504028 -0.039501 0.454597 0.000000 0.000000 0.000000
1.721877 0.503278 -0.037549 0.453986 0.000000 0.000000 0.000000
1.753451 0.502480 -0.035404 0.453451 0.000000 0.000000 0.000000
1.788015 0.501680 -0.033270 0.452881 0.000000 0.000000 0.000000
1.818135 0.501097 -0.031738 0.452431 0.000000 0.000000 0.000000
1.849737 0.500614 -0.030462 0.452066 0.000000 0.000000 0.000000
1.880949 0.500274 -0.029572 0.451802 0.000000 0.000000 0.000000
1.911007 0.500007 -0.028937 0.451484 0.000000 0.000000 0.000000
1.943120 0.499886 -0.028663 0.451317 0.000000 0.000000 0.000000
1.974693 0.499780 -0.028407 0.451195 0.000000 0.000000 0.000000
2.008687 0.499832 -0.028512 0.451286 0.000000 0.000000 0.000000
2.037843 0.500083 -0.029130 0.451552 0.000000 0.000000 0.000000
2.084098 0.500713 -0.030895 0.451855 0.000000 0.000000 0.000000
2.130537 0.501257 -0.032495 0.451993 0.000000 0.000000 0.000000
2.162110 0.501945 -0.034404 0.452356 0.000000 0.000000 0.000000
2.192619 0.502974 -0.037195 0.453007 0.000000 0.000000 0.000000
2.224157 0.503786 -0.039405 0.453501 0.000000 0.000000 0.000000
2.256738 0.504813 -0.042225 0.454096 0.000000 0.000000 0.000000
2.287735 0.506191 -0.046055 0.454813 0.000000 0.000000 0.000000
2.333865 0.507315 -0.049117 0.455499 0.000000 0.000000 0.000000
2.364495 0.508606 -0.052602 0.456343 0.000000 0.000000 0.000000
2.396570 0.509599 -0.055230 0.457081 0.000000 0.000000 0.000000
2.426702 0.510798 -0.058594 0.457651 0.000000 0.000000 0.000000
2.457478 0.512109 -0.062198 0.458400 0.000000 0.000000 0.000000
2.490052 0.513497 -0.066077 0.459083 0.000000 0.000000 0.000000
2.522584 0.514598 -0.069144 0.459641 0.000000 0.000000 0.000000
2.552109 0.515804 -0.072529 0.460215 0.000000 0.000000 0.000000
2.583673 0.517126 -0.076244 0.460832 0.000000 0.000000 0.000000
2.615414 0.518188 -0.079200 0.461379 0.000000 0.000000 0.000000
2.646933 0.519341 -0.082427 0.461939 0.000000 0.000000 0.000000
2.677689 0.520211 -0.084756 0.462541 0.000000 0.000000 0.000000
2.709236 0.521196 -0.087592 0.462891 0.000000 0.000000 0.000000
2.742434 0.522351 -0.090983 0.463185 0.000000 0.000000 0.000000
2.771294 0.523264 -0.093587 0.463548 0.000000 0.000000 0.000000
2.802480 0.524276 -0.096594 0.463745 0.000000 0.000000 0.000000
2.833009 0.525507 -0.100386 0.463764 0.000000 0.000000 0.000000
2.880079 0.526839 -0.104563 0.463658 0.000000 0.000000 0.000000
2.926868 0.527873 -0.107784 0.463613 0.000000 0.000000 0.000000
2.958750 0.528879 -0.110976 0.463475 0.000000 0.000000 0.000000
2.990122 0.529947 -0.114423 0.463224 0.000000 0.000000 0.000000
3.039849 0.530729 -0.116923 0.463083 0.000000 0.000000 0.000000
3.066888 0.531452 -0.119313 0.462822 0.000000 0.000000 0.000000
3.097755 0.531985 -0.121044 0.462679 0.000000 0.000000 0.000000
3.128551 0.532545 -0.122908 0.462453 0.000000 0.000000 0.000000
